trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.88}",30,4,-175.25081447674575,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.7744}",25,0,-89.29114129275055,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.681472}",25,0,-146.60755131944242,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.59969536}",20,10,-153.1630630842263,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.5277319168}",25,0,-132.54249037461165,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.46440408678399997}",25,0,-176.51722380322843,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.40867559636991996}",20,0,-35.31887354859405,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.35963452480552954}",20,4,-49.68965658604008,"{0: 12, 1: 0, 2: 1, 3: 3, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.316478381828866}",20,0,-100.48548478868739,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.2785009760094021}",20,0,-143.65611753683092,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.24508085888827386}",25,18,-7.310963569883064,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.215671155821681}",25,0,-37.797697207207115,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.1897906171230793}",20,0,-2.744237647347843,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.16701574306830977}",20,12,2.4845024208184823,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.1469738539001126}",20,8,6.091504374706098,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.1293369914320991}",25,0,21.193042216401057,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1138165524602472}",20,9,-23.01755092479893,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.10015856616501755}",20,0,-53.35542242566988,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.08813953822521545}",25,0,0.880880862477923,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.07756279363818959}",25,5,-22.4698089251264,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.06825525840160684}",20,13,13.858509164672322,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.060064627393414026}",25,13,19.936096015749246,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.05285687210620434}",20,0,-11.918266647610231,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.04651404745345982}",25,11,7.318983734139274,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,19,10.190973398213735,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,27.22004689471168,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,11,15.433718360001402,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,18.00130572101801,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,5,21.367596127909575,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,27.719400602978723,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,12,2.1208295840182827,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,31.512418790190218,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,11,16.97542724858557,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,24.57535876782877,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
